time,ax,ay,az
54:43.2,0.01,-0.04,0.01
54:43.3,0.01,-0.04,0
54:43.4,0.01,-0.04,0
54:43.5,0.03,-0.04,0.02
54:43.6,0,-0.05,0.02
54:43.7,0,-0.05,0.01
54:43.8,0.01,-0.06,0.01
54:43.9,0.01,-0.09,0
54:44.0,0.01,-0.14,0.01
54:44.1,0.01,-0.19,-0.01
54:44.2,0.02,-0.21,0
54:44.3,0.01,-0.23,0.01
54:44.4,0.01,-0.23,0.02
54:44.5,0.01,-0.21,0.01
54:44.6,0.01,-0.2,0.02
54:44.7,0,-0.2,0.05
54:44.8,0.01,-0.2,-0.01
54:44.9,0.01,-0.19,0
54:45.0,0.03,-0.17,-0.01
54:45.1,0.02,-0.18,0.02
54:45.2,0.02,-0.17,0.03
54:45.3,0.02,-0.17,0.01
54:45.4,0.03,-0.16,0.02
54:45.5,-0.01,-0.14,0.02
54:45.6,0.02,-0.14,0
54:45.7,0.01,-0.14,0.03
54:45.8,0.03,-0.14,0.02
54:45.9,-0.01,-0.13,-0.03
54:46.0,0.01,-0.15,0.01
54:46.1,0.04,-0.13,0.02
54:46.2,0.02,-0.14,0.03
54:46.3,0.02,-0.14,0
54:46.4,0,-0.12,0.03
54:46.5,0,-0.13,0.02
54:46.6,0,-0.13,0
54:46.7,-0.01,-0.12,0.01
54:46.8,0.03,-0.12,0
54:46.9,0.01,-0.12,-0.01
54:47.0,0.01,-0.1,0.03
54:47.1,0,-0.11,0.01
54:47.2,0.02,-0.1,0
54:47.3,0.02,-0.1,0.04
54:47.4,0,-0.09,0.02
54:47.5,-0.01,-0.08,0.02
54:47.6,0.01,-0.09,-0.06
54:47.7,-0.02,-0.07,-0.05
54:47.8,0,-0.08,-0.02
54:47.9,0.06,-0.08,0.04
54:48.0,-0.01,-0.05,-0.03
54:48.1,-0.02,-0.06,-0.05
54:48.2,0,-0.08,0.03
54:48.3,0.02,-0.09,-0.04
54:48.4,0.01,-0.08,0.01
54:48.5,0,-0.06,0.02
54:48.6,-0.02,-0.04,-0.02
54:48.7,-0.02,-0.01,-0.02
54:48.8,0.01,-0.04,-0.01
54:48.9,-0.02,-0.05,0.04
54:49.0,0.01,-0.01,0
54:49.1,-0.06,-0.03,-0.01
54:49.3,0.01,-0.02,-0.03
54:49.4,0,-0.03,-0.03
54:49.5,-0.02,-0.04,0.1
54:49.6,0,-0.04,-0.04
54:49.7,0.05,0,-0.02
54:49.8,0,0,0.02
54:49.9,0,-0.02,0.08
54:50.0,0,-0.01,0.09
54:50.1,0,-0.02,0.03
54:50.2,0.01,0.01,0.01
54:50.3,-0.05,0,-0.03
54:50.4,0.01,0.02,0.05
54:50.5,0.01,0.02,0.08
54:50.6,0.02,-0.01,-0.03
54:50.7,0.04,0.01,0.06
54:50.8,-0.01,-0.01,-0.04
54:50.9,-0.06,0.03,0.04
54:51.0,0.02,-0.02,0.08
54:51.1,-0.01,0.03,0.02
54:51.2,0.03,0.01,0.14
54:51.3,-0.2,-0.03,-1.31
54:51.4,-0.22,-0.08,-0.17
54:51.5,0,0.07,0.06
54:51.6,0.01,0.04,0.05
54:51.7,-0.19,-0.15,-0.03
54:51.8,-0.03,0.03,-0.08
54:51.9,0.03,0.02,-0.07
54:52.0,0.04,0.04,0.03
54:52.1,0.01,0.05,-0.01
54:52.2,0.02,0.01,0.04
54:52.3,-0.06,-0.01,-0.03
54:52.4,-0.02,0.01,0.06
54:52.5,-0.02,0.05,0.04
54:52.6,0.01,0.08,-0.01
54:52.7,0.01,0.05,-0.07
54:52.8,0.02,0.05,0.01
54:52.9,0.03,0.09,-0.06
54:53.0,-0.01,0.05,-0.03
54:53.1,0.03,0.07,-0.01
54:53.2,0.03,0.04,0.03
54:53.3,0.01,0.03,-0.03
54:53.4,-0.05,0.04,-0.01
54:53.5,-0.01,0.06,0.02
54:53.6,-0.02,0.04,0.05
54:53.7,0.01,0.06,-0.01
54:53.8,-0.01,0.05,-0.01
54:53.9,0.01,0,0.01
54:54.0,0.01,-0.07,0.01
54:54.1,-0.01,-0.05,0.02
54:54.2,0.06,-0.1,0
54:54.3,0.02,-0.11,-0.03
54:54.4,0.03,-0.12,0.02
54:54.5,0.05,-0.12,0.02
54:54.6,0.07,-0.11,0
54:54.7,0.03,-0.04,-0.01
54:54.8,0.03,-0.03,0.02
54:54.9,0.01,0.02,0.04
54:55.0,0.02,0.09,0.07
54:55.1,-0.01,0.14,-0.04
54:55.2,-0.01,0.13,0.07
54:55.3,0.02,0.17,-0.02
54:55.4,0.02,0.2,0.04
54:55.5,0,0.2,0.05
54:55.6,0.02,0.19,-0.01
54:55.7,0.04,0.23,0.04
54:55.8,0.02,0.25,0.06
54:55.9,0.01,0.31,-0.02
54:56.0,-0.01,0.24,0.04
54:56.1,0,0.28,0.01
54:56.2,-0.02,0.28,-0.02
54:56.3,0.01,0.26,0.08
54:56.4,0.02,0.29,-0.02
54:56.5,0.03,0.29,0.04
54:56.6,0.05,0.3,0.02
54:56.7,-0.03,0.26,0.02
54:56.8,-0.05,0.29,-0.04
54:56.9,0.04,0.29,0.01
54:57.0,0.02,0.27,0.02
54:57.1,0,0.22,0.04
54:57.2,-0.02,0.02,-0.02
54:57.3,0.01,-0.01,0
54:57.4,0.02,-0.01,0.01
54:57.5,0,0,0.01
54:57.6,0,-0.01,0.03
54:57.7,0.01,-0.01,0
54:57.8,-0.01,-0.02,-0.01
54:57.9,0,-0.04,0.02
54:58.0,0.01,-0.08,0.03
54:58.1,0.01,-0.06,-0.04
54:58.2,0.08,-0.12,-0.11
54:58.3,0,-0.19,0.01
54:58.4,-0.04,-0.23,0.06
54:58.5,-0.01,-0.23,0.03
54:58.6,0.01,-0.22,0.02
54:58.7,0.03,-0.21,0.02
54:58.8,0,-0.19,-0.01
54:58.9,0,-0.17,0.04
54:59.0,-0.05,-0.18,0.05
54:59.1,0.03,-0.11,-0.05
54:59.2,0.07,-0.19,-0.03
54:59.3,-0.01,-0.16,0.02
54:59.4,-0.07,-0.12,-0.03
54:59.5,-0.02,-0.16,0.01
54:59.6,0.02,-0.14,-0.07
